sentence_id,word,POS
1,"أضاءت السلطات المصرية مبنى وزارة الخارجية بكلمة AFRICA , اليوم الثلاثاء احتفالا بيوم أفريقيا وتأكيدا على قيم التضامن الأفريقي ووحدة الهدف والمصير بين الدول والشعوب الأفريقية .",Verb Noun Adjective Noun Noun Adjective Noun Foreign Punctuation Noun Noun Noun Noun ProperNoun Noun Preposition Noun Noun Adjective Noun Noun Noun Noun Noun Noun Adjective Punctuation
2,"قال محمد مختار , المتحدث باسم صندوق تحيا مصر إننا قدمنا أكثر من 3 آلاف طن دعم لأشقائنا فى قطاع غزة بالإضافة إلى أننا جهزنا 130 شاحنة تضم مواد غذائية ضمن القافلة الثانية لدعم الأشقاء بغزة .",Verb ProperNoun ProperNoun Punctuation Noun Noun Noun Verb ProperNoun Pseudo Verb Verb Quantity Noun Preposition Digit Number Noun Noun Noun Noun Preposition Noun ProperNoun Noun Preposition Subordinating Conjunction Verb Digit Noun Verb Noun Adjective Noun Noun Numerical Adjective Noun Noun ProperNoun Punctuation
3,"أعربت جمهورية مصر العربية , اليوم الثلاثاء عن خالص التعازي والمواساة لجمهورية الكونغو الديمقراطية الصديقة في ضحايا بركان جبل "" نيراجونجو الذي ضرب مدينة جوما بشرق البلاد وأسفر وفاة وإصابة العشرا",Verb Noun ProperNoun Adjective Punctuation Noun Noun Preposition Adjective Noun Noun Noun ProperNoun Adjective Adjective Preposition Noun Noun Noun Punctuation ProperNoun Relative Pronoun Verb Noun ProperNoun Noun Noun Verb Noun Noun Quantity Noun
4,"يستقبل سامح شكري وزير الخارجية , غدا الأربعاء انتوني بلينكن الأمريكي وذلك بقصر التحرير وسيقوم الوزيران بإلقاء كلمة قصيرة أمام الكاميرات .",Verb ProperNoun ProperNoun Noun Adjective Punctuation Noun Noun ProperNoun Verb Adjective Demonstrative Pronoun ProperNoun Noun Verb Noun Noun Noun Adjective Noun Noun Punctuation
5,"تحدث الدكتور طارق شوقى , وزير التربية والتعليم الفنى عن ملاحظة تتعلق بمدة الامتحان التجريبي الثاني لطلاب الثانوية العامة وعدد الأسئلة .",Verb Noun ProperNoun ProperNoun Punctuation Noun Noun Noun Adjective Preposition Noun Verb Noun Noun Adjective Numerical Adjective Noun Adjective Adjective Noun Noun Punctuation
6,"كشف الدكتور طارق شوقى , وزير التربية والتعليم الفنى عن أن الوزارة سوف تعلن منتصف الأسبوع القادم تفاصيل التجربة الثالثة وجدول الثانوية العامة وكل تفاصيله .",Verb Noun ProperNoun ProperNoun Punctuation Noun Noun Noun Adjective Preposition Subordinating Conjunction Noun Future Particle Verb Noun Noun Adjective Noun Noun Numerical Adjective Noun Adjective Adjective Quantity Noun Noun Punctuation
7,"عبر عدد من أهالى فلسطين أمام معبر رفح عن سعادتهم بالقوافل التى أرسلها صندوق تحيا مصر إلى قطاع غزة لدعمهم , قائلين : "" لن ننسى وقفة المصريين معنا فى محنتنا .",Noun Noun Preposition Noun ProperNoun Noun Noun ProperNoun Preposition Noun Noun Relative Pronoun Verb Noun Verb ProperNoun Preposition Noun ProperNoun Noun Punctuation Adjective Punctuation Punctuation Negative Particle Verb Noun Noun Noun Preposition Noun Punctuation
8,"تنشر "" اليوم السابع فى عددها المطبوع الصادر غدا الأربعاء , العديد من القضايا والملفات المهمة مقدمتها اتصالات بايدن والرئيس تؤكد : القاهرة واشنطن . علاقات راسخة وفرص تعاون ممتدة",Verb Punctuation Noun Numerical Adjective Preposition Noun Noun Adjective Noun Noun Punctuation Adjective Preposition Noun Noun Noun Noun Noun ProperNoun Noun Verb Punctuation ProperNoun ProperNoun Punctuation Noun Adjective Noun Noun Adjective
9,"أكدت هيئة الدواء المصرية خطورة استخدام المستحضرات الدوائية الخافضة لمستوى السكر بالدم في إنقاص الوزن , وعلاج السمنة حيث أنه بالبحث تبين أن العديد من الأدوية التي تستخدم لعلاج السكري",Verb Noun Noun Adjective Noun Noun Noun Adjective Adjective Noun Noun Noun Preposition Noun Noun Punctuation Noun Noun Relative Adverb Subordinating Conjunction Noun Verb Subordinating Conjunction Adjective Preposition Noun Relative Pronoun Verb Noun Noun
10,"نشر اليوم السابع خلال الساعات الماضية عددا من الأخبار والتقارير المهمة , الرئيس بعد الفتاح السيسى يتسلم دعوة أمير قطر لزيارة الدوحة .",Noun Noun Numerical Adjective Noun Noun Adjective Noun Preposition Noun Noun Adjective Punctuation Noun Noun ProperNoun ProperNoun Verb Noun Noun ProperNoun Noun ProperNoun Punctuation
11,"قالت وكالة الأنباء القطرية "" قانا اليوم الثلاثاء إن نائب رئيس مجلس الوزراء وزير الخارجية القطرى , خلال الاجتماع مع سامح شكرى أعرب عن شكر دولة قطر لجمهورية مصر العربية .",Verb Noun Noun Adjective Punctuation ProperNoun Noun Noun Pseudo Verb Noun Noun Noun Noun Noun Adjective Adjective Punctuation Noun Noun Noun ProperNoun ProperNoun Verb Preposition Noun Noun ProperNoun Noun ProperNoun Adjective Punctuation
12,"تسلم الرئيس عبد الفتاح السيسي , خلال استقباله الشيخ محمد بن الرحمن آل ثاني نائب رئيس الوزراء وزير خارجية دولة قطر دعوة من أمير لزيارة الدوحة .",Verb Noun ProperNoun ProperNoun ProperNoun Punctuation Noun Noun Noun ProperNoun ProperNoun ProperNoun ProperNoun ProperNoun Noun Noun Noun Noun Adjective Noun ProperNoun Noun Preposition Noun Noun ProperNoun Punctuation
