sentence_id,word,POS
1,احتفالا بيوم أفريقيا وتأكيدا على قيم التضامن . إضاءة مبنى الخارجية ب Africa,Noun Noun ProperNoun Noun Preposition Noun Noun Punctuation Noun Noun Adjective Preposition Foreign
2,متحدث صندوق تحيا مصر : تجهيز قافلة ثالثة لأشقائنا بغزة تضم 700 طن مواد غذائية,Noun Noun Verb ProperNoun Punctuation Noun Noun Numerical Adjective Noun ProperNoun Verb Digit Noun Noun Adjective
3,"مصر تعرب عن خالص التعازى والمواساة لجمهورية الكونغو فى ضحايا بركان "" نيراجونجو",ProperNoun Verb Preposition Adjective Noun Noun Noun ProperNoun Preposition Noun Noun Punctuation ProperNoun
4,سامح شكرى يستقبل وزير خارجية أمريكا غدا يعقبه إيجاز صحفى فى قصر التحرير,ProperNoun ProperNoun Verb Noun Adjective ProperNoun Noun Verb Noun Adjective Preposition Noun Noun
5,طارق شوقى : الوزارة اطمئنت على كفاءة 2300 مدرسة مجهزة للجان امتحانات للثانوية,ProperNoun ProperNoun Punctuation Noun ProperNoun Preposition Noun Digit Noun Adjective Noun Noun Adjective
6,وزير التعليم : إعلان جدول الثانوية العامة الأسبوع المقبل . والاختبارات إلكترونية,Noun Noun Punctuation Noun Noun Adjective Adjective Noun Adjective Punctuation Noun Adjective
7,فلسطينيون من معبر رفح : شكرا الرئيس السيسى ولن ننسى وقفة المصريين معنا . فيديو,Adjective Preposition Noun ProperNoun Punctuation Noun Noun ProperNoun Negative Particle Verb Noun Noun Noun Punctuation Noun
8,"القاهرة واشنطن . علاقات راسخة وفرص تعاون ممتدة غدا ب "" اليوم السابع",ProperNoun ProperNoun Punctuation Noun Adjective Noun Noun Adjective Noun Preposition Punctuation Noun Numerical Adjective
9,هيئة الدواء تنصح بعدم استخدام أدوية السكرى فى إنقاص الوزن,Noun Noun Verb Noun Noun Noun Noun Preposition Noun Noun
10,أخبار مصر . الرئيس السيسى يتسلم دعوة من أمير قطر لزيارة الدوحة,Noun ProperNoun Punctuation Noun ProperNoun Verb Noun Preposition Noun ProperNoun Noun ProperNoun
11,وزير خارجية قطر : نشكر مصر على جهودها بشأن وقف إطلاق النار فى غزة,Noun Adjective ProperNoun Punctuation Verb ProperNoun Preposition Noun Noun Noun Noun Noun Preposition ProperNoun
12,دعوة رسمية لزيارة قطر . الرئيس السيسى يتسلم رسالة من الأمير تميم إنفوجراف,Noun Adjective Noun ProperNoun Punctuation Noun ProperNoun Verb Noun Preposition Noun ProperNoun ProperNoun
13,جهاز تنظيم الكهرباء ينشر خطوات نقل ملكية العداد . تعرف عليها,Noun Noun Noun Verb Noun Noun Noun Noun Punctuation Verb Preposition
14,واشنطن : سنقدم 5.5 مليون دولار مساعدات عاجلة لغزة و 32 مليونا لمنظمات دولية,ProperNoun Punctuation Verb Digit Number Noun Noun Noun Adjective ProperNoun Conjunction Digit Number Noun Noun Adjective
15,"الأردن يستدعى سفير إسرائيل فى عمان ويسلمه رسالة احتجاج "" شديدة اللهجة",ProperNoun Verb Noun ProperNoun Preposition ProperNoun Verb Noun Noun Punctuation Adjective Noun
16,وزير الدفاع يشهد مناقشة البحث الرئيسى لإدارة الشئون المعنوية للقوات المسلحة,Noun Noun Verb Noun Noun Adjective Noun Noun Adjective Noun Adjective
17,رئيس الوزراء يتابع موقف توصيل المرافق للمناطق الصناعية,Noun Noun Verb Noun Noun Adjective Noun Adjective
18,الرئيس السيسى يؤكد لوزير خارجية قطر أهمية تركيز الجهود لصالح شعبى البلدين,Noun ProperNoun Verb Noun Adjective ProperNoun Noun Noun Noun Noun Adjective Noun
19,التعليم العالى : 555 مشروعا قوميا تنفذها الوزارة بتكلفة 144 مليار جنيه,Noun Adjective Punctuation Digit Noun Adjective Verb Noun Noun Digit Number Noun Noun
20,الرئيس السيسى يتسلم دعوة من أمير قطر لزيارة الدوحة,Noun ProperNoun Verb Noun Preposition Noun ProperNoun Noun ProperNoun
21,الرئيس السيسى يستقبل وزير خارجية دولة قطر,Noun ProperNoun Verb Noun Adjective Noun ProperNoun
22,وزير الخارجية الأمريكى يصل رام الله لبحث تثبيت وقف إطلاق النار فى غزة,Noun Adjective Adjective Verb ProperNoun ProperNoun Noun Noun Noun Noun Noun Preposition ProperNoun
23,شخص يقتل والدته وشقيقته الصغرى بالمنيا والنيابة تحقق فى الواقعة . لايف,Noun Verb Noun Noun Comparative Adjective ProperNoun Noun Verb Preposition Adjective Punctuation ProperNoun
24,الرئيس السيسى يتسلم وسام الاستحقاق الخاص من اللجنة الأولمبية الأفريقية,Noun ProperNoun Verb Noun Noun Adjective Preposition Noun Adjective Adjective
25,التعليم : إعلان تفاصيل الامتحانات النهائية للثانوية العامة الأسبوع المقبل,Noun Punctuation Noun Noun Noun Adjective Adjective Adjective Noun Adjective
26,الرئيس السيسى لوزير الرياضة السعودى : مصر تولى اهتماما كبيرا بالنشء والشباب,Noun ProperNoun Noun Noun Adjective Punctuation ProperNoun Verb Noun Adjective Noun Noun
27,رفع الجلسة العامة لمجلس النواب بمناقشة 71 أداة رقابية . والعودة للانعقاد 6 يونيو,Verb Noun Adjective Noun Noun Noun Digit Noun Adjective Punctuation Noun Noun Digit ProperNoun
28,"وزير الإسكان ل "" النواب : اللى عنده شك فى صحة مياه الشرب يشوف النتائج الرسمية",Noun Noun Preposition Punctuation Noun Punctuation Noun Noun Noun Preposition Noun Noun Noun Verb Noun Adjective
29,الرئيس السيسى يستقبل وزير الرياضة ورئيس اللجنة الأولمبية السعودية,Noun ProperNoun Verb Noun Noun Noun Noun Adjective ProperNoun
30,وزيرا خارجية مصر وقطر يناقشان تطورات ملف سد النهضة الإثيوبى . صور,Noun Adjective ProperNoun ProperNoun Verb Noun Noun ProperNoun ProperNoun Adjective Punctuation Noun
31,"حقائق مالية تؤكد صمود الاقتصاد المصرى أمام أزمة "" كورونا . إنفوجراف",Noun Adjective Verb Noun Noun Adjective Noun Noun Punctuation Verb Punctuation ProperNoun
32,وزير الإسكان : القانون يمنع منح من فقد منزله وحدة إسكان اجتماعى,Noun Noun Punctuation Noun Verb Noun Preposition Verbal Particle Noun Noun Noun Adjective
33,وزير الإسكان : لا يوجد تلوث للمنتج الزراعى وخلط مياه الشرب بالصرف مستحيل فنيا,Noun Noun Punctuation Negative Particle Verb Noun Noun Adjective Noun Noun Noun Noun Adjective Adjective
34,وزير الإسكان : حجم العمل بالصرف الصحى آخر 6 سنوات يكافئ 40 عاما مضت,Noun Noun Punctuation Noun Noun Noun Adjective Adjective Digit Noun Verb Digit Noun Verb
35,الإعدام شنقا لطالب خطف طفلا وقتله لطلب فدية من أسرته بالشرقية,Noun Noun Noun Noun Noun Noun Noun Noun Preposition Noun Adjective
36,وزير الخارجية يستقبل نظيره القطرى فى مقر الوزارة بقصر التحرير وبدء المباحثات,Noun Adjective Verb Noun Adjective Preposition Noun Noun Noun Noun Noun Noun
37,الحكومة : 27854 مستفيدا من المشروع القومى للبتلو بإجمالى تمويل 4.5 مليار جنيه,Noun Punctuation Digit Noun Preposition Noun Adjective ProperNoun Noun Noun Digit Number Noun Noun
38,جنود إثيوبيون يطلبون اللجوء إلى السودان بسبب انتمائهم إقليم تيجراى,Noun Adjective Verb Noun Preposition ProperNoun Noun Noun Noun ProperNoun
39,الهيئة العربية للتصنيع تدشن خطوط إنتاج أول منتج عربى من التابلت واللاب توب,Noun Adjective Noun Verb Noun Noun Numerical Adjective Noun Adjective Preposition ProperNoun ProperNoun Verb
40,وزير خارجية الأردن : ترحيل الفلسطينيين سيتسبب في إعادة تفجير الأوضاع,Noun Adjective ProperNoun Punctuation Noun Noun Verb Preposition Noun Noun Noun
41,ارتفاع بالحرارة غدا وشبورة مائية ورياح والعظمى بالقاهرة 35 درجة,Noun Noun Noun Noun Adjective Noun Noun ProperNoun Digit Noun
42,الصحة تدعو المواطنين فوق سن 18 عاما للتسجيل على موقع حجز لقاح كورونا,Noun Verb Noun Noun Noun Digit Noun Noun Preposition Noun Verb Noun Verb
43,أخبار مصر . قطع المياه عن منطقة الزمالك بالقاهرة غدا لمدة 8 ساعات تبدأ 9 مساء,Noun ProperNoun Punctuation Noun Noun Preposition Noun ProperNoun ProperNoun Noun Noun Digit Noun Verb Digit Noun
44,طارق شوقى : الامتحان التجريبى للثانوية العامة هدفه ضبط الخوادم المركزية,ProperNoun ProperNoun Punctuation Noun Adjective Adjective Adjective Verb Noun Noun Adjective
